155,357,62
357,3,62
41,48,475
45,594,317
555,226,312
226,45,312
45,226,594
391,608,6
555,391,6
391,555,312
97,530,52
457,97,52
97,457,127
472,326,596
134,442,660
280,129,660
442,280,660
635,74,429
74,3,429
3,74,62
192,3,357
192,477,520
477,192,357
477,426,520
336,426,678
426,477,678
477,610,678
48,610,475
610,48,678
610,155,475
155,610,357
610,477,357
448,165,411
153,226,555
253,141,661
517,250,522
517,73,579
73,517,522
462,297,246
297,462,502
428,294,246
294,462,246
462,294,345
345,294,181
358,252,598
252,358,21
358,336,397
21,358,397
96,78,167
78,96,256
337,453,444
644,337,444
337,644,385
273,457,52
457,445,127
530,198,403
97,198,530
567,404,467
404,365,465
365,404,567
82,35,151
361,35,82
212,533,647
326,51,353
680,231,666
431,680,666
280,24,129
526,114,532
435,556,459
418,280,442
495,418,442
418,495,451
618,495,442
618,134,112
134,618,442
95,152,521
213,95,521
3,668,429
192,668,3
48,349,678
349,336,678
336,349,397
267,48,41
277,267,41
267,349,48
349,267,606
222,326,353
606,222,353
326,222,596
222,277,596
222,267,277
267,222,606
653,36,300
637,680,662
680,637,231
47,355,594
594,355,317
355,36,317
36,355,300
387,128,545
355,387,300
387,355,47
370,153,555
370,555,6
320,370,6
370,320,106
153,299,226
226,299,594
299,47,594
47,299,231
231,299,666
299,153,666
119,351,451
351,119,447
119,184,613
495,184,451
184,119,451
671,250,517
250,671,428
294,671,181
671,294,428
19,73,522
73,19,681
19,85,681
175,252,21
244,517,579
671,244,181
244,671,517
244,175,181
175,244,252
64,358,598
159,64,598
64,426,336
358,64,336
426,64,520
64,159,520
378,606,353
349,378,397
378,349,606
329,182,579
252,182,598
182,244,579
244,182,252
29,159,598
182,29,598
29,182,329
29,329,152
95,29,152
29,95,159
329,367,152
682,85,205
85,682,681
152,27,521
122,27,652
367,27,152
27,367,652
27,631,521
27,122,631
107,103,673
103,107,657
253,601,141
119,539,447
539,119,613
70,22,30
189,281,436
281,176,436
176,281,379
328,61,92
269,551,83
551,269,197
211,551,197
295,211,197
642,468,501
468,642,295
468,295,197
422,468,197
296,468,422
296,291,501
468,296,501
401,16,553
536,15,49
172,78,256
165,172,256
172,165,448
452,369,600
78,369,167
369,78,600
369,452,553
369,16,167
16,369,553
644,199,385
136,452,410
452,136,553
572,337,385
337,481,453
481,26,453
481,572,81
572,481,337
265,241,627
663,399,622
663,514,93
491,663,93
663,491,399
577,643,266
514,569,93
42,569,514
491,5,17
5,491,93
216,306,194
199,264,437
264,199,644
306,458,374
458,264,65
216,458,306
458,216,437
264,458,437
453,430,444
430,196,444
313,221,403
198,313,403
417,97,127
417,198,97
148,365,567
301,567,467
445,492,127
492,445,316
105,161,575
105,455,121
161,363,647
361,363,121
363,105,121
105,363,161
161,177,575
149,105,575
105,149,455
149,552,648
455,149,648
455,456,121
361,334,35
207,538,467
404,77,467
77,207,467
533,348,647
348,161,647
177,348,380
348,177,161
242,533,115
348,242,380
242,348,533
242,195,386
195,242,115
51,102,353
102,51,545
59,653,300
653,59,472
59,326,472
59,51,326
373,67,662
373,425,67
425,373,356
190,315,431
190,431,666
479,190,106
190,479,315
478,24,280
418,478,280
24,100,129
100,615,537
615,100,24
669,176,379
114,268,248
526,268,114
268,526,379
281,268,379
184,611,613
193,556,435
564,435,459
341,459,388
341,564,459
564,341,676
478,685,279
685,478,418
351,685,451
685,418,451
7,618,112
592,7,112
7,225,432
225,7,592
359,225,592
225,292,432
292,611,432
631,658,521
658,213,521
213,408,95
159,408,520
95,408,159
408,192,520
408,668,192
668,408,213
15,543,49
543,298,49
387,229,128
229,387,47
229,637,128
229,47,231
637,229,231
677,566,496
346,184,495
618,346,495
611,346,432
346,611,184
346,7,432
7,346,618
284,289,68
289,278,68
278,289,496
289,677,496
278,9,68
9,98,68
9,253,661
9,278,253
91,98,655
173,91,655
686,354,639
686,639,279
686,677,354
677,686,566
568,351,447
375,175,21
637,554,128
554,130,128
554,637,662
67,554,662
128,178,545
130,178,128
178,102,545
102,178,71
543,540,324
540,543,15
38,384,32
670,367,329
670,73,681
73,670,579
670,329,579
367,14,652
682,14,681
14,670,681
670,14,367
107,659,657
651,107,673
576,61,158
61,576,92
11,500,270
215,487,416
103,215,416
215,103,657
108,364,560
108,360,449
364,108,449
504,220,362
220,504,552
519,166,582
674,601,253
674,278,496
278,674,253
539,382,447
22,589,189
589,281,189
589,268,281
268,589,248
109,422,197
269,109,197
11,570,92
570,269,83
328,570,83
570,328,92
687,642,325
642,687,295
687,211,295
163,335,291
335,163,275
669,684,176
223,684,563
684,669,563
287,296,422
296,164,291
164,163,291
163,164,133
287,164,296
309,4,590
636,4,410
257,286,265
550,473,347
473,117,347
117,473,636
454,550,347
454,536,49
78,617,600
172,617,78
390,136,26
481,390,26
390,401,553
136,390,553
401,390,81
390,481,81
578,150,633
483,241,265
286,483,265
643,104,266
584,643,581
241,584,581
584,104,643
104,584,679
584,483,679
483,584,241
309,66,433
66,309,590
66,650,433
650,66,321
643,471,581
471,321,581
577,471,643
471,577,413
458,187,374
187,458,65
332,663,622
663,332,514
37,577,266
485,42,514
332,485,514
485,332,640
46,569,42
577,46,413
46,42,413
37,46,577
569,46,516
46,37,516
39,5,93
569,39,93
39,569,516
602,264,644
602,644,444
196,602,444
264,602,65
612,306,374
609,612,374
306,612,194
612,63,194
499,417,127
492,499,127
499,492,450
420,313,198
417,420,198
206,533,212
301,206,212
533,206,115
206,538,115
206,301,467
538,206,467
518,301,212
301,518,567
518,82,151
148,518,151
518,148,567
20,33,535
492,255,450
255,492,316
255,381,443
56,381,316
381,255,316
84,214,143
667,361,82
667,363,361
363,667,647
667,212,647
518,667,82
667,518,212
188,149,575
460,20,535
